posteam,posteam_type,defteam,side_of_field,yardline_100,half_seconds_remaining,game_seconds_remaining,qtr,down,ydstogo,ydsnet,yards_gained,epa,wp,def_wp,wpa,vegas_wpa,pass_attempt,season,cp,cpoe,goal_to_go,air_yards,field_goal_attempt,field_goal_result,kick_distance,score_differential,no_score_prob,opp_fg_prob,opp_td_prob,fg_prob,td_prob,punt_blocked,punt_inside_twenty,touchback,punt_attempt,fourth_down_converted,touchdown
TEN,home,ARI,TEN,74.0,1090.0,2890.0,1.0,4.0,4.0,5.0,6.0,3.0622718,0.2273954,0.7726046,0.050549313,0.06804317,1.0,2021,0.68979114,31.020885,0,4.0,0.0,,,-10.0,0.0442414,0.23104523,0.33803833,0.13704085,0.24161787,0.0,0.0,0.0,0.0,1.0,0.0
TEN,home,ARI,ARI,49.0,948.0,948.0,3.0,4.0,10.0,18.0,-8.0,-3.1447217,0.002950567,0.99704945,-0.0019262016,-0.003124834,1.0,2021,,,0,,0.0,,,-25.0,0.05743187,0.17208172,0.25616875,0.18372104,0.32168457,0.0,0.0,0.0,0.0,0.0,0.0
TEN,home,ARI,ARI,34.0,498.0,498.0,4.0,4.0,5.0,33.0,0.0,-2.1374652,0.00081451953,0.9991855,-0.00055029214,-0.00017543245,1.0,2021,0.36477652,-36.477654,0,9.0,0.0,,,-25.0,0.21105282,0.10507251,0.18172456,0.3479008,0.14804523,0.0,0.0,0.0,0.0,0.0,0.0
ARI,away,TEN,TEN,41.0,127.0,127.0,4.0,4.0,7.0,25.0,,-0.0,0.9996996,0.0003004074,-0.0,-0.0,,2021,,,0,,,,,25.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,
BAL,away,LV,LV,35.0,1014.0,2814.0,1.0,4.0,1.0,65.0,35.0,5.008027,0.5317759,0.4682241,0.14514016,0.14216277,0.0,2021,,,0,,0.0,,,0.0,0.015375964,0.086099304,0.17910463,0.37752855,0.33851162,0.0,0.0,0.0,0.0,1.0,1.0
BAL,away,LV,LV,36.0,73.0,1873.0,2.0,4.0,1.0,39.0,0.0,-3.1350858,0.7788649,0.22113508,-0.08805692,-0.05556281,0.0,2021,,,0,,0.0,,,7.0,0.42082438,0.07702186,0.032802664,0.28515288,0.18262474,0.0,0.0,0.0,0.0,0.0,0.0
LV,home,BAL,BAL,13.0,1105.0,1105.0,3.0,4.0,1.0,67.0,0.0,-4.2966213,0.31698796,0.683012,-0.07259831,-0.0720337,0.0,2021,,,0,,0.0,,,-7.0,0.004496243,0.027031004,0.04887729,0.494137,0.4235626,0.0,0.0,0.0,0.0,0.0,0.0
CHI,away,LA,LA,41.0,1341.0,3141.0,1.0,4.0,4.0,35.0,0.0,-2.748856,0.21312115,0.7868788,-0.039746314,-0.032761417,1.0,2021,0.71631455,-71.631454,0,5.0,0.0,,,-7.0,0.009078803,0.14325182,0.32929265,0.21838933,0.28554866,0.0,0.0,0.0,0.0,0.0,0.0
CHI,away,LA,LA,38.0,981.0,2781.0,1.0,4.0,4.0,33.0,-4.0,-2.9955564,0.16112757,0.83887243,-0.017791033,-0.018701628,1.0,2021,,,0,,0.0,,,-10.0,0.026233511,0.14508858,0.29758656,0.24086137,0.2802111,0.0,0.0,0.0,0.0,0.0,0.0
LA,home,CHI,CHI,32.0,836.0,2636.0,2.0,4.0,1.0,54.0,13.0,2.41926,0.8343887,0.16561133,0.045523524,0.012122989,1.0,2021,0.6424783,35.75217,0,12.0,0.0,,,10.0,0.022744011,0.09454663,0.13688613,0.39628088,0.34673226,0.0,0.0,0.0,0.0,1.0,0.0
